filename,dice_count,1_count,2_count,3_count,4_count,5_count,6_count,dot_sum
./dices/100_dices/1.jpg,7,0,1,0,1,1,4,35
./dices/100_dices/2.jpg,7,1,0,2,0,2,2,29
./dices/100_dices/3.jpg,7,0,0,0,3,4,0,32
./dices/100_dices/4.jpg,7,1,1,3,1,1,0,21
./dices/100_dices/5.jpg,7,4,0,0,1,1,1,19
./dices/100_dices/6.jpg,7,2,1,0,3,1,0,21
./dices/100_dices/7.jpg,7,2,0,2,1,0,2,24
./dices/100_dices/8.jpg,7,0,0,3,2,0,2,29
./dices/100_dices/9.jpg,7,0,1,2,1,2,1,28
./dices/100_dices/10.jpg,7,0,2,0,2,1,2,29
./dices/100_dices/11.jpg,7,1,0,3,1,0,1,20
./dices/100_dices/12.jpg,7,1,0,3,2,1,0,23
./dices/100_dices/13.jpg,7,0,2,2,1,1,1,25
./dices/100_dices/14.jpg,5,1,0,1,1,2,0,18
./dices/100_dices/15.jpg,5,1,1,0,2,1,0,16
./dices/100_dices/16.jpg,7,1,0,2,1,1,2,28
./dices/100_dices/17.jpg,5,1,1,0,1,2,0,17
./dices/100_dices/18.jpg,6,1,3,0,0,2,0,17
./dices/100_dices/19.jpg,7,0,3,1,2,0,1,23
./dices/100_dices/20.jpg,7,3,1,2,0,1,0,16
./dices/100_dices/21.jpg,7,0,1,3,2,0,1,25
./dices/100_dices/22.jpg,7,0,1,3,1,0,2,27
./dices/100_dices/23.jpg,5,1,0,0,2,0,2,21
./dices/100_dices/24.jpg,7,2,1,1,2,1,0,20
./dices/100_dices/25.jpg,7,2,1,1,1,0,2,23
./dices/100_dices/26.jpg,7,1,2,1,1,1,1,23
./dices/100_dices/27.jpg,7,0,1,0,3,0,3,32
./dices/100_dices/28.jpg,7,0,1,2,2,0,2,28
./dices/100_dices/29.jpg,7,1,0,1,3,2,0,26
./dices/100_dices/30.jpg,6,1,1,2,1,1,0,18
./dices/100_dices/31.jpg,7,3,0,3,0,0,1,18
./dices/100_dices/32.jpg,7,0,0,2,0,2,3,34
./dices/100_dices/33.jpg,7,3,1,0,2,0,1,19
